Sexe;Epreuve;Points;Perf;Code epreuve
Men;2000m;899;5:24.97;Men-2000m
Men;HJ;899;-;Men-HJ
Men;PV;899;-;Men-PV
Men;LJ;899;6.89;Men-LJ
Men;TJ;899;14.48;Men-TJ
Men;SP;899;16.27;Men-SP
Men;DT;899;51.18;Men-DT
Men;HT;899;60.36;Men-HT
Men;JT;899;65.72;Men-JT
Men;Decathlon / Heptathlon;899;6515;Men-Decathlon / Heptathlon
Men;100m;900;-;Men-100m
Men;200m;900;-;Men-200m
Men;300m;900;35.02;Men-300m
Men;400m;900;49.31;Men-400m
Men;500m;900;1:04.77;Men-500m
Men;110mH / 100mH;900;14.96;Men-110mH / 100mH
Men;400mH;900;54.90;Men-400mH
Men;4x100m;900;42.51;Men-4x100m
Men;4x200m;900;1:29.01;Men-4x200m
Men;4x400m;900;3:20.50;Men-4x400m
Men;600m;900;1:21.19;Men-600m
Men;800m;900;1:54.58;Men-800m
Men;1000m;900;2:27.97;Men-1000m
Men;1500m;900;3:56.22;Men-1500m
Men;Mile;900;4:14.87;Men-Mile
Men;2000m;900;5:24.86;Men-2000m
Men;HJ;900;-;Men-HJ
Men;PV;900;4.65;Men-PV
Men;LJ;900;-;Men-LJ
Men;TJ;900;14.49;Men-TJ
Men;SP;900;16.29;Men-SP
Men;DT;900;51.23;Men-DT
Men;HT;900;60.42;Men-HT
Men;JT;900;65.79;Men-JT
Men;Decathlon / Heptathlon;900;6522;Men-Decathlon / Heptathlon
Men;100m;901;10.95;Men-100m
Men;200m;901;22.18;Men-200m
Men;300m;901;35.01;Men-300m
Men;400m;901;49.29;Men-400m
Men;500m;901;1:04.75;Men-500m
Men;110mH / 100mH;901;14.95;Men-110mH / 100mH
Men;400mH;901;54.87;Men-400mH
Men;4x100m;901;42.50;Men-4x100m
Men;4x200m;901;1:28.98;Men-4x200m
Men;4x400m;901;3:20.42;Men-4x400m
Men;600m;901;1:21.16;Men-600m
Men;800m;901;1:54.54;Men-800m
Men;1000m;901;2:27.92;Men-1000m
Men;1500m;901;3:56.13;Men-1500m
Men;Mile;901;4:14.78;Men-Mile
Men;2000m;901;5:24.74;Men-2000m
Men;HJ;901;-;Men-HJ
Men;PV;901;-;Men-PV
Men;LJ;901;6.90;Men-LJ
Men;TJ;901;14.50;Men-TJ
Men;SP;901;16.30;Men-SP
Men;DT;901;51.29;Men-DT
Men;HT;901;60.49;Men-HT
Men;JT;901;65.86;Men-JT
Men;Decathlon / Heptathlon;901;6529;Men-Decathlon / Heptathlon
Men;100m;902;-;Men-100m
Men;200m;902;22.17;Men-200m
Men;300m;902;34.99;Men-300m
Men;400m;902;49.27;Men-400m
Men;500m;902;1:04.73;Men-500m
Men;110mH / 100mH;902;-;Men-110mH / 100mH
Men;400mH;902;54.85;Men-400mH
Men;4x100m;902;42.48;Men-4x100m
Men;4x200m;902;1:28.95;Men-4x200m
Men;4x400m;902;3:20.35;Men-4x400m
Men;600m;902;1:21.14;Men-600m
Men;800m;902;1:54.50;Men-800m
Men;1000m;902;2:27.87;Men-1000m
Men;1500m;902;3:56.05;Men-1500m
Men;Mile;902;4:14.69;Men-Mile
Men;2000m;902;5:24.63;Men-2000m
Men;HJ;902;-;Men-HJ
Men;PV;902;4.66;Men-PV
Men;LJ;902;-;Men-LJ
Men;TJ;902;14.51;Men-TJ
Men;SP;902;16.32;Men-SP
Men;DT;902;51.34;Men-DT
Men;HT;902;60.55;Men-HT
Men;JT;902;65.93;Men-JT
Men;Decathlon / Heptathlon;902;6535;Men-Decathlon / Heptathlon
Men;100m;903;-;Men-100m
Men;200m;903;-;Men-200m
Men;300m;903;34.98;Men-300m
Men;400m;903;49.26;Men-400m
Men;500m;903;1:04.71;Men-500m
Men;110mH / 100mH;903;14.94;Men-110mH / 100mH
Men;400mH;903;54.83;Men-400mH
Men;4x100m;903;42.47;Men-4x100m
Men;4x200m;903;1:28.92;Men-4x200m
Men;4x400m;903;3:20.27;Men-4x400m
Men;600m;903;1:21.11;Men-600m
Men;800m;903;1:54.46;Men-800m
Men;1000m;903;2:27.82;Men-1000m
Men;1500m;903;3:55.97;Men-1500m
Men;Mile;903;4:14.60;Men-Mile
Men;2000m;903;5:24.52;Men-2000m
Men;HJ;903;-;Men-HJ
Men;PV;903;-;Men-PV
Men;LJ;903;6.91;Men-LJ
Men;TJ;903;14.52;Men-TJ
Men;SP;903;16.34;Men-SP
Men;DT;903;51.40;Men-DT
Men;HT;903;60.62;Men-HT
Men;JT;903;66.01;Men-JT
Men;Decathlon / Heptathlon;903;6542;Men-Decathlon / Heptathlon
Men;100m;904;10.94;Men-100m
Men;200m;904;22.16;Men-200m
Men;300m;904;34.97;Men-300m
Men;400m;904;49.24;Men-400m
Men;500m;904;1:04.68;Men-500m
Men;110mH / 100mH;904;-;Men-110mH / 100mH
Men;400mH;904;54.80;Men-400mH
Men;4x100m;904;42.45;Men-4x100m
Men;4x200m;904;1:28.89;Men-4x200m
Men;4x400m;904;3:20.20;Men-4x400m
Men;600m;904;1:21.08;Men-600m
Men;800m;904;1:54.43;Men-800m
Men;1000m;904;2:27.77;Men-1000m
Men;1500m;904;3:55.89;Men-1500m
Men;Mile;904;4:14.51;Men-Mile
Men;2000m;904;5:24.41;Men-2000m
Men;HJ;904;-;Men-HJ
Men;PV;904;-;Men-PV
Men;LJ;904;-;Men-LJ
Men;TJ;904;14.53;Men-TJ
Men;SP;904;16.35;Men-SP
Men;DT;904;51.45;Men-DT
Men;HT;904;60.68;Men-HT
Men;JT;904;66.08;Men-JT
Men;Decathlon / Heptathlon;904;6548;Men-Decathlon / Heptathlon
Men;100m;905;-;Men-100m
Men;200m;905;22.15;Men-200m
Men;300m;905;34.96;Men-300m
Men;400m;905;49.22;Men-400m
Men;500m;905;1:04.66;Men-500m
Men;110mH / 100mH;905;14.93;Men-110mH / 100mH
Men;400mH;905;54.78;Men-400mH
Men;4x100m;905;42.44;Men-4x100m
Men;4x200m;905;1:28.86;Men-4x200m
Men;4x400m;905;3:20.13;Men-4x400m
Men;600m;905;1:21.06;Men-600m
Men;800m;905;1:54.39;Men-800m
Men;1000m;905;2:27.72;Men-1000m
Men;1500m;905;3:55.80;Men-1500m
Men;Mile;905;4:14.42;Men-Mile
Men;2000m;905;5:24.29;Men-2000m
Men;HJ;905;1.99;Men-HJ
Men;PV;905;4.67;Men-PV
Men;LJ;905;6.92;Men-LJ
Men;TJ;905;14.54;Men-TJ
Men;SP;905;16.37;Men-SP
Men;DT;905;51.51;Men-DT
Men;HT;905;60.75;Men-HT
Men;JT;905;66.15;Men-JT
Men;Decathlon / Heptathlon;905;6555;Men-Decathlon / Heptathlon
Men;100m;906;-;Men-100m
Men;200m;906;22.14;Men-200m
Men;300m;906;34.94;Men-300m
Men;400m;906;49.21;Men-400m
Men;500m;906;1:04.64;Men-500m
Men;110mH / 100mH;906;14.92;Men-110mH / 100mH
Men;400mH;906;54.76;Men-400mH
Men;4x100m;906;42.42;Men-4x100m
Men;4x200m;906;1:28.83;Men-4x200m
Men;4x400m;906;3:20.05;Men-4x400m
Men;600m;906;1:21.03;Men-600m
Men;800m;906;1:54.35;Men-800m
Men;1000m;906;2:27.67;Men-1000m
Men;1500m;906;3:55.72;Men-1500m
Men;Mile;906;4:14.33;Men-Mile
Men;2000m;906;5:24.18;Men-2000m
Men;HJ;906;-;Men-HJ
Men;PV;906;-;Men-PV
Men;LJ;906;-;Men-LJ
Men;TJ;906;14.55;Men-TJ
Men;SP;906;16.39;Men-SP
Men;DT;906;51.56;Men-DT
Men;HT;906;60.81;Men-HT
Men;JT;906;66.22;Men-JT
Men;Decathlon / Heptathlon;906;6561;Men-Decathlon / Heptathlon
Men;100m;907;10.93;Men-100m
Men;200m;907;-;Men-200m
Men;300m;907;34.93;Men-300m
Men;400m;907;49.19;Men-400m
Men;500m;907;1:04.62;Men-500m
Men;110mH / 100mH;907;-;Men-110mH / 100mH
Men;400mH;907;54.74;Men-400mH
Men;4x100m;907;42.41;Men-4x100m
Men;4x200m;907;1:28.80;Men-4x200m
Men;4x400m;907;3:19.98;Men-4x400m
Men;600m;907;1:21.00;Men-600m
Men;800m;907;1:54.31;Men-800m
Men;1000m;907;2:27.63;Men-1000m
Men;1500m;907;3:55.64;Men-1500m
Men;Mile;907;4:14.25;Men-Mile
Men;2000m;907;5:24.07;Men-2000m
Men;HJ;907;-;Men-HJ
Men;PV;907;-;Men-PV
Men;LJ;907;6.93;Men-LJ
Men;TJ;907;14.56;Men-TJ
Men;SP;907;16.40;Men-SP
Men;DT;907;51.62;Men-DT
Men;HT;907;60.88;Men-HT
Men;JT;907;66.29;Men-JT
Men;Decathlon / Heptathlon;907;6568;Men-Decathlon / Heptathlon
Men;100m;908;-;Men-100m
Men;200m;908;22.13;Men-200m
Men;300m;908;34.92;Men-300m
Men;400m;908;49.17;Men-400m
Men;500m;908;1:04.60;Men-500m
Men;110mH / 100mH;908;14.91;Men-110mH / 100mH
Men;400mH;908;54.72;Men-400mH
Men;4x100m;908;42.39;Men-4x100m
Men;4x200m;908;1:28.76;Men-4x200m
Men;4x400m;908;3:19.90;Men-4x400m
Men;600m;908;1:20.98;Men-600m
Men;800m;908;1:54.28;Men-800m
Men;1000m;908;2:27.58;Men-1000m
Men;1500m;908;3:55.56;Men-1500m
Men;Mile;908;4:14.16;Men-Mile
Men;2000m;908;5:23.96;Men-2000m
Men;HJ;908;-;Men-HJ
Men;PV;908;4.68;Men-PV
Men;LJ;908;-;Men-LJ
Men;TJ;908;14.57;Men-TJ
Men;SP;908;16.42;Men-SP
Men;DT;908;51.67;Men-DT
Men;HT;908;60.94;Men-HT
Men;JT;908;66.36;Men-JT
Men;Decathlon / Heptathlon;908;6575;Men-Decathlon / Heptathlon
Men;100m;909;-;Men-100m
Men;200m;909;22.12;Men-200m
Men;300m;909;34.91;Men-300m
Men;400m;909;49.16;Men-400m
Men;500m;909;1:04.58;Men-500m
Men;110mH / 100mH;909;-;Men-110mH / 100mH
Men;400mH;909;54.69;Men-400mH
Men;4x100m;909;42.38;Men-4x100m
Men;4x200m;909;1:28.73;Men-4x200m
Men;4x400m;909;3:19.83;Men-4x400m
Men;600m;909;1:20.95;Men-600m
Men;800m;909;1:54.24;Men-800m
Men;1000m;909;2:27.53;Men-1000m
Men;1500m;909;3:55.48;Men-1500m
Men;Mile;909;4:14.07;Men-Mile
Men;2000m;909;5:23.84;Men-2000m
Men;HJ;909;-;Men-HJ
Men;PV;909;-;Men-PV
Men;LJ;909;6.94;Men-LJ
Men;TJ;909;14.58;Men-TJ
Men;SP;909;16.44;Men-SP
Men;DT;909;51.73;Men-DT
Men;HT;909;61.01;Men-HT
Men;JT;909;66.43;Men-JT
Men;Decathlon / Heptathlon;909;6581;Men-Decathlon / Heptathlon
Men;100m;910;10.92;Men-100m
Men;200m;910;22.11;Men-200m
Men;300m;910;34.90;Men-300m
Men;400m;910;49.14;Men-400m
Men;500m;910;1:04.55;Men-500m
Men;110mH / 100mH;910;14.90;Men-110mH / 100mH
Men;400mH;910;54.67;Men-400mH
Men;4x100m;910;42.36;Men-4x100m
Men;4x200m;910;1:28.70;Men-4x200m
Men;4x400m;910;3:19.76;Men-4x400m
Men;600m;910;1:20.92;Men-600m
Men;800m;910;1:54.20;Men-800m
Men;1000m;910;2:27.48;Men-1000m
Men;1500m;910;3:55.39;Men-1500m
Men;Mile;910;4:13.98;Men-Mile
Men;2000m;910;5:23.73;Men-2000m
Men;HJ;910;-;Men-HJ
Men;PV;910;4.69;Men-PV
Men;LJ;910;-;Men-LJ
Men;TJ;910;14.59;Men-TJ
Men;SP;910;16.45;Men-SP
Men;DT;910;51.78;Men-DT
Men;HT;910;61.07;Men-HT
Men;JT;910;66.50;Men-JT
Men;Decathlon / Heptathlon;910;6588;Men-Decathlon / Heptathlon
Men;100m;911;-;Men-100m
Men;200m;911;-;Men-200m
Men;300m;911;34.88;Men-300m
Men;400m;911;49.12;Men-400m
Men;500m;911;1:04.53;Men-500m
Men;110mH / 100mH;911;14.89;Men-110mH / 100mH
Men;400mH;911;54.65;Men-400mH
Men;4x100m;911;42.35;Men-4x100m
Men;4x200m;911;1:28.67;Men-4x200m
Men;4x400m;911;3:19.68;Men-4x400m
Men;600m;911;1:20.90;Men-600m
Men;800m;911;1:54.16;Men-800m
Men;1000m;911;2:27.43;Men-1000m
Men;1500m;911;3:55.31;Men-1500m
Men;Mile;911;4:13.89;Men-Mile
Men;2000m;911;5:23.62;Men-2000m
Men;HJ;911;-;Men-HJ
Men;PV;911;-;Men-PV
Men;LJ;911;6.95;Men-LJ
Men;TJ;911;14.60;Men-TJ
Men;SP;911;16.47;Men-SP
Men;DT;911;51.83;Men-DT
Men;HT;911;61.14;Men-HT
Men;JT;911;66.57;Men-JT
Men;Decathlon / Heptathlon;911;6594;Men-Decathlon / Heptathlon
Men;100m;912;-;Men-100m
Men;200m;912;22.10;Men-200m
Men;300m;912;34.87;Men-300m
Men;400m;912;49.11;Men-400m
Men;500m;912;1:04.51;Men-500m
Men;110mH / 100mH;912;-;Men-110mH / 100mH
Men;400mH;912;54.63;Men-400mH
Men;4x100m;912;42.33;Men-4x100m
Men;4x200m;912;1:28.64;Men-4x200m
Men;4x400m;912;3:19.61;Men-4x400m
Men;600m;912;1:20.87;Men-600m
Men;800m;912;1:54.13;Men-800m
Men;1000m;912;2:27.38;Men-1000m
Men;1500m;912;3:55.23;Men-1500m
Men;Mile;912;4:13.80;Men-Mile
Men;2000m;912;5:23.51;Men-2000m
Men;HJ;912;-;Men-HJ
Men;PV;912;-;Men-PV
Men;LJ;912;-;Men-LJ
Men;TJ;912;14.61;Men-TJ
Men;SP;912;16.49;Men-SP
Men;DT;912;51.89;Men-DT
Men;HT;912;61.20;Men-HT
Men;JT;912;66.64;Men-JT
Men;Decathlon / Heptathlon;912;6601;Men-Decathlon / Heptathlon
Men;100m;913;10.91;Men-100m
Men;200m;913;22.09;Men-200m
Men;300m;913;34.86;Men-300m
Men;400m;913;49.09;Men-400m
Men;500m;913;1:04.49;Men-500m
Men;110mH / 100mH;913;14.88;Men-110mH / 100mH
Men;400mH;913;54.60;Men-400mH
Men;4x100m;913;42.32;Men-4x100m
Men;4x200m;913;1:28.61;Men-4x200m
Men;4x400m;913;3:19.54;Men-4x400m
Men;600m;913;1:20.84;Men-600m
Men;800m;913;1:54.09;Men-800m
Men;1000m;913;2:27.33;Men-1000m
Men;1500m;913;3:55.15;Men-1500m
Men;Mile;913;4:13.71;Men-Mile
Men;2000m;913;5:23.39;Men-2000m
Men;HJ;913;-;Men-HJ
Men;PV;913;4.70;Men-PV
Men;LJ;913;6.96;Men-LJ
Men;TJ;913;14.62;Men-TJ
Men;SP;913;16.51;Men-SP
Men;DT;913;51.94;Men-DT
Men;HT;913;61.27;Men-HT
Men;JT;913;66.71;Men-JT
Men;Decathlon / Heptathlon;913;6607;Men-Decathlon / Heptathlon
Men;100m;914;-;Men-100m
Men;200m;914;22.08;Men-200m
Men;300m;914;34.85;Men-300m
Men;400m;914;49.08;Men-400m
Men;500m;914;1:04.47;Men-500m
Men;110mH / 100mH;914;-;Men-110mH / 100mH
Men;400mH;914;54.58;Men-400mH
Men;4x100m;914;42.30;Men-4x100m
Men;4x200m;914;1:28.58;Men-4x200m
Men;4x400m;914;3:19.46;Men-4x400m
Men;600m;914;1:20.82;Men-600m
Men;800m;914;1:54.05;Men-800m
Men;1000m;914;2:27.28;Men-1000m
Men;1500m;914;3:55.06;Men-1500m
Men;Mile;914;4:13.63;Men-Mile
Men;2000m;914;5:23.28;Men-2000m
Men;HJ;914;2.00;Men-HJ
Men;PV;914;-;Men-PV
Men;LJ;914;-;Men-LJ
Men;TJ;914;14.63;Men-TJ
Men;SP;914;16.52;Men-SP
Men;DT;914;52.00;Men-DT
Men;HT;914;61.33;Men-HT
Men;JT;914;66.78;Men-JT
Men;Decathlon / Heptathlon;914;6614;Men-Decathlon / Heptathlon
Men;100m;915;-;Men-100m
Men;200m;915;-;Men-200m
Men;300m;915;34.83;Men-300m
Men;400m;915;49.06;Men-400m
Men;500m;915;1:04.45;Men-500m
Men;110mH / 100mH;915;14.87;Men-110mH / 100mH
Men;400mH;915;54.56;Men-400mH
Men;4x100m;915;42.29;Men-4x100m
Men;4x200m;915;1:28.55;Men-4x200m
Men;4x400m;915;3:19.39;Men-4x400m
Men;600m;915;1:20.79;Men-600m
Men;800m;915;1:54.02;Men-800m
Men;1000m;915;2:27.23;Men-1000m
Men;1500m;915;3:54.98;Men-1500m
Men;Mile;915;4:13.54;Men-Mile
Men;2000m;915;5:23.17;Men-2000m
Men;HJ;915;-;Men-HJ
Men;PV;915;-;Men-PV
Men;LJ;915;-;Men-LJ
Men;TJ;915;14.64;Men-TJ
Men;SP;915;16.54;Men-SP
Men;DT;915;52.05;Men-DT
Men;HT;915;61.40;Men-HT
Men;JT;915;66.85;Men-JT
Men;Decathlon / Heptathlon;915;6621;Men-Decathlon / Heptathlon
Men;100m;916;10.90;Men-100m
Men;200m;916;22.07;Men-200m
Men;300m;916;34.82;Men-300m
Men;400m;916;49.04;Men-400m
Men;500m;916;1:04.42;Men-500m
Men;110mH / 100mH;916;14.86;Men-110mH / 100mH
Men;400mH;916;54.54;Men-400mH
Men;4x100m;916;42.27;Men-4x100m
Men;4x200m;916;1:28.52;Men-4x200m
Men;4x400m;916;3:19.32;Men-4x400m
Men;600m;916;1:20.76;Men-600m
Men;800m;916;1:53.98;Men-800m
Men;1000m;916;2:27.18;Men-1000m
Men;1500m;916;3:54.90;Men-1500m
Men;Mile;916;4:13.45;Men-Mile
Men;2000m;916;5:23.06;Men-2000m
Men;HJ;916;-;Men-HJ
Men;PV;916;4.71;Men-PV
Men;LJ;916;6.97;Men-LJ
Men;TJ;916;-;Men-TJ
Men;SP;916;16.56;Men-SP
Men;DT;916;52.11;Men-DT
Men;HT;916;61.46;Men-HT
Men;JT;916;66.92;Men-JT
Men;Decathlon / Heptathlon;916;6627;Men-Decathlon / Heptathlon
Men;100m;917;-;Men-100m
Men;200m;917;22.06;Men-200m
Men;300m;917;34.81;Men-300m
Men;400m;917;49.03;Men-400m
Men;500m;917;1:04.40;Men-500m
Men;110mH / 100mH;917;-;Men-110mH / 100mH
Men;400mH;917;54.51;Men-400mH
Men;4x100m;917;42.26;Men-4x100m
Men;4x200m;917;1:28.49;Men-4x200m
Men;4x400m;917;3:19.24;Men-4x400m
Men;600m;917;1:20.74;Men-600m
Men;800m;917;1:53.94;Men-800m
Men;1000m;917;2:27.13;Men-1000m
Men;1500m;917;3:54.82;Men-1500m
Men;Mile;917;4:13.36;Men-Mile
Men;2000m;917;5:22.95;Men-2000m
Men;HJ;917;-;Men-HJ
Men;PV;917;-;Men-PV
Men;LJ;917;-;Men-LJ
Men;TJ;917;14.65;Men-TJ
Men;SP;917;16.57;Men-SP
Men;DT;917;52.16;Men-DT
Men;HT;917;61.53;Men-HT
Men;JT;917;66.99;Men-JT
Men;Decathlon / Heptathlon;917;6634;Men-Decathlon / Heptathlon
Men;100m;918;-;Men-100m
Men;200m;918;22.05;Men-200m
Men;300m;918;34.80;Men-300m
Men;400m;918;49.01;Men-400m
Men;500m;918;1:04.38;Men-500m
Men;110mH / 100mH;918;14.85;Men-110mH / 100mH
Men;400mH;918;54.49;Men-400mH
Men;4x100m;918;42.24;Men-4x100m
Men;4x200m;918;1:28.46;Men-4x200m
Men;4x400m;918;3:19.17;Men-4x400m
Men;600m;918;1:20.71;Men-600m
Men;800m;918;1:53.90;Men-800m
Men;1000m;918;2:27.08;Men-1000m
Men;1500m;918;3:54.74;Men-1500m
Men;Mile;918;4:13.27;Men-Mile
Men;2000m;918;5:22.83;Men-2000m
Men;HJ;918;-;Men-HJ
Men;PV;918;4.72;Men-PV
Men;LJ;918;6.98;Men-LJ
Men;TJ;918;14.66;Men-TJ
Men;SP;918;16.59;Men-SP
Men;DT;918;52.22;Men-DT
Men;HT;918;61.59;Men-HT
Men;JT;918;67.06;Men-JT
Men;Decathlon / Heptathlon;918;6640;Men-Decathlon / Heptathlon
Men;100m;919;10.89;Men-100m
Men;200m;919;-;Men-200m
Men;300m;919;34.79;Men-300m
Men;400m;919;48.99;Men-400m
Men;500m;919;1:04.36;Men-500m
Men;110mH / 100mH;919;-;Men-110mH / 100mH
Men;400mH;919;54.47;Men-400mH
Men;4x100m;919;42.23;Men-4x100m
Men;4x200m;919;1:28.43;Men-4x200m
Men;4x400m;919;3:19.09;Men-4x400m
Men;600m;919;1:20.68;Men-600m
Men;800m;919;1:53.87;Men-800m
Men;1000m;919;2:27.03;Men-1000m
Men;1500m;919;3:54.66;Men-1500m
Men;Mile;919;4:13.19;Men-Mile
Men;2000m;919;5:22.72;Men-2000m
Men;HJ;919;-;Men-HJ
Men;PV;919;-;Men-PV
Men;LJ;919;-;Men-LJ
Men;TJ;919;14.67;Men-TJ
Men;SP;919;16.61;Men-SP
Men;DT;919;52.27;Men-DT
Men;HT;919;61.66;Men-HT
Men;JT;919;67.14;Men-JT
Men;Decathlon / Heptathlon;919;6647;Men-Decathlon / Heptathlon
Men;100m;920;-;Men-100m
Men;200m;920;22.04;Men-200m
Men;300m;920;34.77;Men-300m
Men;400m;920;48.98;Men-400m
Men;500m;920;1:04.34;Men-500m
Men;110mH / 100mH;920;14.84;Men-110mH / 100mH
Men;400mH;920;54.45;Men-400mH
Men;4x100m;920;42.21;Men-4x100m
Men;4x200m;920;1:28.40;Men-4x200m
Men;4x400m;920;3:19.02;Men-4x400m
Men;600m;920;1:20.66;Men-600m
Men;800m;920;1:53.83;Men-800m
Men;1000m;920;2:26.98;Men-1000m
Men;1500m;920;3:54.57;Men-1500m
Men;Mile;920;4:13.10;Men-Mile
Men;2000m;920;5:22.61;Men-2000m
Men;HJ;920;-;Men-HJ
Men;PV;920;-;Men-PV
Men;LJ;920;6.99;Men-LJ
Men;TJ;920;14.68;Men-TJ
Men;SP;920;16.62;Men-SP
Men;DT;920;52.33;Men-DT
Men;HT;920;61.72;Men-HT
Men;JT;920;67.21;Men-JT
Men;Decathlon / Heptathlon;920;6653;Men-Decathlon / Heptathlon
Men;100m;921;-;Men-100m
Men;200m;921;22.03;Men-200m
Men;300m;921;34.76;Men-300m
Men;400m;921;48.96;Men-400m
Men;500m;921;1:04.32;Men-500m
Men;110mH / 100mH;921;14.83;Men-110mH / 100mH
Men;400mH;921;54.42;Men-400mH
Men;4x100m;921;42.20;Men-4x100m
Men;4x200m;921;1:28.37;Men-4x200m
Men;4x400m;921;3:18.95;Men-4x400m
Men;600m;921;1:20.63;Men-600m
Men;800m;921;1:53.79;Men-800m
Men;1000m;921;2:26.93;Men-1000m
Men;1500m;921;3:54.49;Men-1500m
Men;Mile;921;4:13.01;Men-Mile
Men;2000m;921;5:22.50;Men-2000m
Men;HJ;921;-;Men-HJ
Men;PV;921;4.73;Men-PV
Men;LJ;921;-;Men-LJ
Men;TJ;921;14.69;Men-TJ
Men;SP;921;16.64;Men-SP
Men;DT;921;52.38;Men-DT
Men;HT;921;61.79;Men-HT
Men;JT;921;67.28;Men-JT
Men;Decathlon / Heptathlon;921;6660;Men-Decathlon / Heptathlon
Men;100m;922;10.88;Men-100m
Men;200m;922;-;Men-200m
Men;300m;922;34.75;Men-300m
Men;400m;922;48.94;Men-400m
Men;500m;922;1:04.30;Men-500m
Men;110mH / 100mH;922;-;Men-110mH / 100mH
Men;400mH;922;54.40;Men-400mH
Men;4x100m;922;42.18;Men-4x100m
Men;4x200m;922;1:28.34;Men-4x200m
Men;4x400m;922;3:18.87;Men-4x400m
Men;600m;922;1:20.60;Men-600m
Men;800m;922;1:53.76;Men-800m
Men;1000m;922;2:26.89;Men-1000m
Men;1500m;922;3:54.41;Men-1500m
Men;Mile;922;4:12.92;Men-Mile
Men;2000m;922;5:22.39;Men-2000m
Men;HJ;922;-;Men-HJ
Men;PV;922;-;Men-PV
Men;LJ;922;7.00;Men-LJ
Men;TJ;922;14.70;Men-TJ
Men;SP;922;16.66;Men-SP
Men;DT;922;52.44;Men-DT
Men;HT;922;61.85;Men-HT
Men;JT;922;67.35;Men-JT
Men;Decathlon / Heptathlon;922;6667;Men-Decathlon / Heptathlon
Men;100m;923;-;Men-100m
Men;200m;923;22.02;Men-200m
Men;300m;923;34.74;Men-300m
Men;400m;923;48.93;Men-400m
Men;500m;923;1:04.27;Men-500m
Men;110mH / 100mH;923;14.82;Men-110mH / 100mH
Men;400mH;923;54.38;Men-400mH
Men;4x100m;923;42.17;Men-4x100m
Men;4x200m;923;1:28.31;Men-4x200m
Men;4x400m;923;3:18.80;Men-4x400m
Men;600m;923;1:20.58;Men-600m
Men;800m;923;1:53.72;Men-800m
Men;1000m;923;2:26.84;Men-1000m
Men;1500m;923;3:54.33;Men-1500m
Men;Mile;923;4:12.83;Men-Mile
Men;2000m;923;5:22.28;Men-2000m
Men;HJ;923;2.01;Men-HJ
Men;PV;923;-;Men-PV
Men;LJ;923;-;Men-LJ
Men;TJ;923;14.71;Men-TJ
Men;SP;923;16.67;Men-SP
Men;DT;923;52.49;Men-DT
Men;HT;923;61.92;Men-HT
Men;JT;923;67.42;Men-JT
Men;Decathlon / Heptathlon;923;6673;Men-Decathlon / Heptathlon
Men;100m;924;-;Men-100m
Men;200m;924;22.01;Men-200m
Men;300m;924;34.72;Men-300m
Men;400m;924;48.91;Men-400m
Men;500m;924;1:04.25;Men-500m
Men;110mH / 100mH;924;-;Men-110mH / 100mH
Men;400mH;924;54.36;Men-400mH
Men;4x100m;924;42.15;Men-4x100m
Men;4x200m;924;1:28.28;Men-4x200m
Men;4x400m;924;3:18.73;Men-4x400m
Men;600m;924;1:20.55;Men-600m
Men;800m;924;1:53.68;Men-800m
Men;1000m;924;2:26.79;Men-1000m
Men;1500m;924;3:54.25;Men-1500m
Men;Mile;924;4:12.75;Men-Mile
Men;2000m;924;5:22.17;Men-2000m
Men;HJ;924;-;Men-HJ
Men;PV;924;4.74;Men-PV
Men;LJ;924;7.01;Men-LJ
Men;TJ;924;14.72;Men-TJ
Men;SP;924;16.69;Men-SP
Men;DT;924;52.54;Men-DT
Men;HT;924;61.98;Men-HT
Men;JT;924;67.49;Men-JT
Men;Decathlon / Heptathlon;924;6680;Men-Decathlon / Heptathlon
Men;100m;925;10.87;Men-100m
Men;200m;925;22.00;Men-200m
Men;300m;925;34.71;Men-300m
Men;400m;925;48.90;Men-400m
Men;500m;925;1:04.23;Men-500m
Men;110mH / 100mH;925;14.81;Men-110mH / 100mH
Men;400mH;925;54.34;Men-400mH
Men;4x100m;925;42.14;Men-4x100m
Men;4x200m;925;1:28.25;Men-4x200m
Men;4x400m;925;3:18.66;Men-4x400m
Men;600m;925;1:20.52;Men-600m
Men;800m;925;1:53.65;Men-800m
Men;1000m;925;2:26.74;Men-1000m
Men;1500m;925;3:54.17;Men-1500m
Men;Mile;925;4:12.66;Men-Mile
Men;2000m;925;5:22.05;Men-2000m
Men;HJ;925;-;Men-HJ
Men;PV;925;-;Men-PV
Men;LJ;925;-;Men-LJ
Men;TJ;925;14.73;Men-TJ
Men;SP;925;16.71;Men-SP
Men;DT;925;52.60;Men-DT
Men;HT;925;62.05;Men-HT
Men;JT;925;67.56;Men-JT
Men;Decathlon / Heptathlon;925;6686;Men-Decathlon / Heptathlon
Men;100m;926;-;Men-100m
Men;200m;926;-;Men-200m
Men;300m;926;34.70;Men-300m
Men;400m;926;48.88;Men-400m
Men;500m;926;1:04.21;Men-500m
Men;110mH / 100mH;926;14.80;Men-110mH / 100mH
Men;400mH;926;54.31;Men-400mH
Men;4x100m;926;42.12;Men-4x100m
Men;4x200m;926;1:28.22;Men-4x200m
Men;4x400m;926;3:18.58;Men-4x400m
Men;600m;926;1:20.50;Men-600m
